source,target,time_fps
fly3,fly12,5574
fly2,fly9,5574
fly9,fly2,5576
fly5,fly8,5615
fly9,fly3,5625
fly3,fly9,5625
fly7,fly8,5638
fly8,fly5,5639
fly7,fly5,5647
fly8,fly7,5673
fly1,fly10,5680
fly11,fly8,5687
fly1,fly4,5688
fly4,fly10,5689
fly8,fly5,5704
fly3,fly12,5707
fly5,fly8,5710
fly5,fly11,5714
fly11,fly5,5723
fly5,fly7,5734
fly8,fly5,5737
fly7,fly5,5742
fly8,fly7,5745
fly10,fly8,5751
fly8,fly10,5756
fly10,fly5,5757
fly10,fly7,5759
fly7,fly10,5760
fly5,fly10,5776
fly7,fly8,5778
fly5,fly7,5796
fly1,fly5,5811
fly12,fly9,5812
fly10,fly6,5823
fly5,fly8,5823
fly2,fly10,5824
fly6,fly10,5824
fly9,fly12,5828
fly10,fly11,5833
fly1,fly7,5837
fly7,fly1,5837
fly11,fly3,5844
fly3,fly11,5848
fly2,fly10,5854
fly10,fly11,5862
fly6,fly10,5869
fly11,fly6,5874
fly10,fly3,5879
fly5,fly7,5881
fly2,fly6,5909
fly7,fly1,5913
fly10,fly6,5924
fly1,fly7,5929
fly3,fly6,5933
fly6,fly2,5939
fly11,fly9,5944
fly9,fly11,5945
fly3,fly2,5960
fly7,fly5,5972
fly6,fly2,6000
fly7,fly4,6016
fly4,fly7,6039
fly8,fly2,6043
fly9,fly8,6087
fly7,fly12,6119
fly9,fly8,6123
fly5,fly10,6123
fly10,fly5,6127
fly10,fly6,6130
fly6,fly10,6143
fly8,fly9,6144
fly7,fly3,6168
fly11,fly2,6175
fly10,fly6,6177
fly12,fly3,6179
fly5,fly10,6188
fly3,fly7,6212
fly11,fly9,6229
fly3,fly12,6237
fly5,fly11,6263
fly3,fly4,6270
fly11,fly10,6287
fly10,fly11,6291
fly4,fly3,6317
fly2,fly11,6336
fly4,fly3,6351
fly4,fly12,6356
fly11,fly2,6360
fly12,fly4,6361
fly8,fly4,6420
fly12,fly4,6423
fly5,fly8,6424
fly4,fly12,6425
fly5,fly4,6434
fly5,fly12,6449
fly5,fly12,6465
fly8,fly4,6471
fly11,fly6,6492
fly12,fly4,6500
fly8,fly5,6513
fly12,fly5,6528
fly12,fly8,6532
fly5,fly8,6551
fly8,fly4,6561
fly7,fly4,6570
fly5,fly1,6599
fly1,fly5,6601
fly1,fly12,6619
fly12,fly1,6620
fly4,fly8,6643
fly6,fly7,6661
fly7,fly6,6671
fly10,fly9,6672
fly9,fly10,6675
fly7,fly8,6713
fly6,fly8,6714
fly4,fly1,6715
fly1,fly4,6715
fly8,fly6,6758
fly6,fly11,6770
fly10,fly5,6771
fly6,fly8,6810
fly4,fly12,6826
fly8,fly6,6826
fly12,fly1,6840
fly7,fly8,6873
fly1,fly11,6882
fly11,fly1,6883
fly8,fly2,6925
fly2,fly8,6928
fly6,fly1,6938
fly3,fly10,6942
fly7,fly1,6948
fly10,fly3,6979
fly8,fly3,6986
fly10,fly8,6990
fly8,fly10,6990
fly11,fly1,6998
fly6,fly7,7023
fly3,fly10,7036
fly3,fly10,7060
fly12,fly11,7091
fly3,fly2,7094
fly11,fly9,7119
fly9,fly11,7120
fly6,fly12,7125
fly7,fly9,7136
fly12,fly6,7145
fly3,fly2,7150
fly8,fly2,7158
fly3,fly8,7159
fly6,fly9,7183
fly3,fly1,7207
fly1,fly3,7207
fly6,fly9,7218
fly8,fly1,7224
fly7,fly6,7233
fly12,fly7,7236
fly2,fly1,7250
fly10,fly7,7259
fly7,fly10,7260
fly10,fly6,7265
fly10,fly9,7269
fly2,fly1,7346
fly9,fly6,7390
fly12,fly9,7395
fly9,fly10,7406
fly3,fly4,7428
fly4,fly3,7433
fly9,fly12,7434
fly9,fly12,7469
fly3,fly4,7480
fly7,fly10,7496
fly10,fly7,7506
fly3,fly1,7521
fly12,fly10,7527
fly1,fly3,7534
fly3,fly2,7545
fly2,fly3,7545
fly3,fly1,7555
fly12,fly5,7564
fly10,fly9,7579
fly9,fly12,7630
fly10,fly1,7687
fly1,fly10,7691
fly5,fly9,7725
fly10,fly8,7728
fly7,fly6,7732
fly6,fly7,7739
fly8,fly10,7740
fly11,fly3,7742
fly11,fly2,7768
fly12,fly9,7820
fly11,fly4,7823
fly4,fly11,7824
fly10,fly3,7835
fly1,fly8,7853
fly8,fly1,7853
fly3,fly10,7858
fly10,fly3,7865
fly11,fly4,7896
fly10,fly7,7897
fly3,fly7,7901
fly4,fly2,7926
fly10,fly3,7960
fly5,fly11,7964
fly5,fly4,7966
fly11,fly4,7985
fly5,fly11,8016
fly7,fly1,8018
fly4,fly2,8019
fly3,fly10,8030
fly1,fly7,8031
fly2,fly4,8041
fly11,fly4,8043
fly11,fly2,8046
fly8,fly10,8054
fly10,fly8,8055
fly9,fly12,8077
fly11,fly2,8078
fly10,fly1,8114
fly1,fly10,8120
fly5,fly4,8121
fly7,fly12,8136
fly12,fly7,8145
fly4,fly5,8158
fly5,fly4,8158
fly9,fly7,8174
fly2,fly5,8222
fly9,fly10,8244
fly3,fly11,8253
fly4,fly2,8277
fly2,fly4,8279
fly11,fly3,8284
fly8,fly5,8296
fly11,fly1,8380
fly1,fly11,8388
fly4,fly7,8410
fly7,fly9,8462
fly9,fly3,8481
fly7,fly6,8502
fly12,fly6,8506
fly9,fly3,8509
fly6,fly7,8509
fly8,fly10,8557
fly3,fly6,8561
fly6,fly3,8587
fly4,fly9,8597
fly3,fly12,8608
fly8,fly10,8611
fly3,fly6,8659
fly9,fly5,8706
fly4,fly9,8727
fly8,fly4,8733
fly8,fly9,8782
fly11,fly12,8784
fly9,fly4,8787
fly9,fly10,8795
fly4,fly10,8796
fly5,fly3,8796
fly5,fly6,8845
fly4,fly3,8847
fly10,fly8,8852
fly3,fly4,8860
fly10,fly4,8867
fly3,fly10,8873
fly3,fly4,8878
fly11,fly1,8890
fly6,fly8,8893
fly8,fly6,8898
fly3,fly9,8910
fly6,fly4,8935
fly6,fly4,8974
fly5,fly8,8988
fly9,fly6,9015
fly6,fly9,9035
fly2,fly7,9047
fly6,fly4,9050
fly5,fly9,9181
fly8,fly4,9189
fly6,fly3,9221
fly9,fly5,9227
fly6,fly1,9279
fly3,fly6,9293
fly4,fly3,9322
fly9,fly7,9323
fly7,fly9,9324
fly3,fly10,9354
fly9,fly7,9358
fly6,fly4,9396
fly11,fly2,9397
fly4,fly6,9426
fly12,fly2,9458
fly12,fly1,9469
fly10,fly11,9475
fly11,fly12,9492
fly10,fly5,9556
fly5,fly11,9565
fly11,fly10,9565
fly10,fly11,9568
fly12,fly10,9580
fly10,fly12,9581
fly11,fly5,9584
fly4,fly5,9629
fly1,fly8,9645
fly8,fly9,9645
fly4,fly7,9653
fly12,fly11,9666
fly3,fly12,9666
fly9,fly8,9670
fly9,fly1,9670
fly1,fly9,9673
fly11,fly12,9685
fly6,fly5,9691
fly1,fly9,9698
fly11,fly3,9711
fly11,fly12,9732
fly10,fly3,9743
fly9,fly5,9744
fly3,fly10,9744
fly5,fly9,9745
fly6,fly8,9753
fly12,fly11,9791
fly12,fly3,9808
fly4,fly10,9811
fly5,fly9,9843
fly3,fly11,9873
fly12,fly2,9892
fly2,fly12,9894
fly3,fly4,9904
fly10,fly8,9955
fly8,fly3,9985
fly12,fly1,10040
fly3,fly8,10060
fly6,fly5,10064
fly8,fly3,10088
fly3,fly8,10089
fly1,fly12,10090
fly11,fly4,10114
fly4,fly11,10123
fly4,fly11,10142
fly5,fly9,10150
fly12,fly1,10264
fly9,fly7,10271
fly3,fly9,10325
fly8,fly4,10353
fly3,fly7,10379
fly8,fly1,10382
fly12,fly11,10398
fly4,fly1,10454
fly5,fly4,10464
fly2,fly7,10484
fly9,fly2,10495
fly2,fly9,10501
fly8,fly5,10506
fly8,fly4,10509
fly4,fly8,10547
fly9,fly3,10560
fly3,fly11,10593
fly9,fly1,10593
fly3,fly11,10618
fly6,fly7,10634
fly7,fly6,10636
fly8,fly2,10652
fly12,fly10,10664
fly9,fly1,10690
fly8,fly1,10693
fly1,fly8,10717
fly8,fly1,10721
fly2,fly9,10737
fly6,fly7,10742
fly6,fly3,10742
fly7,fly3,10764
fly3,fly6,10764
fly9,fly2,10790
fly2,fly10,10812
fly3,fly6,10847
fly4,fly5,10857
fly5,fly4,10857
fly3,fly12,10872
fly12,fly3,10881
fly6,fly12,10886
fly3,fly12,10900
fly9,fly1,10903
fly12,fly6,10905
fly9,fly5,10906
fly5,fly1,10914
fly1,fly5,10917
fly9,fly1,10934
fly1,fly9,10936
fly12,fly3,10939
fly10,fly7,10939
fly7,fly10,10945
fly12,fly7,10975
